Perijove time (UTC): 2016/07/05 02:47:38 - In Florida 2016/07/04 22:47:38 
florida: From 2016/07/04 20:23:10 to 2016/07/04 23:59:54
cerra: From 2016/07/04 17:55:50 to 2016/07/04 22:54:09 - In Florida: 2016/07/04 17:55:50 to 2016/07/04 22:54:09
arizona: From 2016/07/04 20:38:30 to 2016/07/05 00:07:47 - In Florida: 2016/07/04 22:38:30 to 2016/07/05 02:07:47
canary: From 2016/07/04 21:07:28 to 2016/07/05 00:44:27 - In Florida: 2016/07/04 16:07:28 to 2016/07/04 19:44:27

Perijove time (UTC): 2016/08/27 12:51:20 - In Florida 2016/08/27 08:51:20 
florida: From 2016/08/27 19:48:30 to 2016/08/27 20:54:46
cerra: From 2016/08/27 19:25:54 to 2016/08/27 21:06:34 - In Florida: 2016/08/27 18:25:54 to 2016/08/27 20:06:34
arizona: From 2016/08/26 19:59:17 to 2016/08/26 21:04:35 - In Florida: 2016/08/26 21:59:17 to 2016/08/26 23:04:35
canary: From 2016/08/27 20:32:41 to 2016/08/27 21:39:13 - In Florida: 2016/08/27 15:32:41 to 2016/08/27 16:39:13

Perijove time (UTC): 2016/10/19 18:11:07 - In Florida 2016/10/19 14:11:07 
florida: From 2016/10/20 06:01:59 to 2016/10/20 07:25:54
cerra: From 2016/10/20 06:11:51 to 2016/10/20 06:58:51 - In Florida: 2016/10/20 05:11:51 to 2016/10/20 05:58:51
arizona: From 2016/10/20 06:08:24 to 2016/10/20 07:35:40 - In Florida: 2016/10/20 08:08:24 to 2016/10/20 09:35:40
canary: From 2016/10/20 06:46:22 to 2016/10/20 08:09:47 - In Florida: 2016/10/20 01:46:22 to 2016/10/20 03:09:47

Perijove time (UTC): 2016/11/02 17:52:29 - In Florida 2016/11/02 13:52:29 
florida: From 2016/11/03 05:19:56 to 2016/11/03 07:35:17
cerra: From 2016/11/03 05:24:50 to 2016/11/03 06:45:59 - In Florida: 2016/11/03 04:24:50 to 2016/11/03 05:45:59
arizona: From 2016/11/03 05:26:46 to 2016/11/03 07:46:57 - In Florida: 2016/11/03 07:26:46 to 2016/11/03 09:46:57
canary: From 2016/11/03 05:04:20 to 2016/11/03 07:19:15 - In Florida: 2016/11/03 01:04:20 to 2016/11/03 03:19:15

Perijove time (UTC): 2016/11/16 16:54:46 - In Florida 2016/11/16 11:54:46 
florida: From 2016/11/17 03:37:09 to 2016/11/17 06:45:50
cerra: From 2016/11/17 04:37:26 to 2016/11/17 06:37:16 - In Florida: 2016/11/17 02:37:26 to 2016/11/17 04:37:16
arizona: From 2016/11/17 03:44:22 to 2016/11/17 06:59:09 - In Florida: 2016/11/17 05:44:22 to 2016/11/17 08:59:09
canary: From 2016/11/17 04:21:35 to 2016/11/17 07:29:52 - In Florida: 2016/11/16 23:21:35 to 2016/11/17 02:29:52

Perijove time (UTC): 2016/11/30 15:52:21 - In Florida 2016/11/30 10:52:21 
florida: From 2016/12/01 02:53:20 to 2016/12/01 06:56:43
cerra: From 2016/12/01 03:49:27 to 2016/12/01 06:33:46 - In Florida: 2016/12/01 01:49:27 to 2016/12/01 04:33:46
arizona: From 2016/12/01 03:00:53 to 2016/12/01 07:11:17 - In Florida: 2016/12/01 05:00:53 to 2016/12/01 09:11:17
canary: From 2016/12/01 03:37:48 to 2016/12/01 07:40:49 - In Florida: 2016/11/30 22:37:48 to 2016/12/01 02:40:49

Perijove time (UTC): 2016/12/14 14:49:58 - In Florida 2016/12/14 09:49:58 
