07/05/2016 02:47:38 32.80
08/27/2016 12:51:20 96.10
10/19/2016 18:11:07 347.90
11/02/2016 17:52:29 284.10
11/16/2016 16:54:46 196.70
11/30/2016 15:52:21 106.50
12/14/2016 14:49:58 16.30
12/28/2016 13:47:35 286.00
01/11/2017 13:59:37 240.80
01/25/2017 12:57:12 150.60
02/08/2017 11:54:47 60.40
02/22/2017 10:52:21 330.20
03/08/2017 09:12:44 217.50
03/22/2017 08:10:19 127.20
04/05/2017 07:07:53 37.00
04/19/2017 06:05:27 306.80
05/03/2017 06:17:26 261.50
05/17/2017 05:14:57 171.20
05/31/2017 04:12:29 81.00
06/14/2017 03:10:03 350.70
06/28/2017 03:40:40 316.70
07/12/2017 02:38:12 226.40
07/26/2017 01:35:46 136.20
08/09/2017 00:33:19 45.90
08/23/2017 00:08:07 338.10
09/05/2017 23:05:44 247.90
09/19/2017 22:03:21 157.60
10/03/2017 21:00:55 67.40
10/17/2017 20:35:43 359.60
10/31/2017 19:33:14 269.30
11/14/2017 18:30:45 179.00
11/28/2017 17:28:16 88.80
12/12/2017 17:02:53 20.90
12/26/2017 16:00:20 290.60
01/09/2018 14:57:50 200.30
01/23/2018 13:55:18 109.90
02/06/2018 12:52:47 19.60
02/20/2018 11:39:44 282.90
12/11/2016 15:24:00 7.03
2/2/2017 11:18:00 277.00
3/27/2017 08:53:20 187.00
5/1/2017 06:01:51 142.00
7/11/2017 01:55:56 52.00
